,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,FEDEXCUP STROKES,1ST,2ND,3RD,YEAR
37,Kevin Kisner,73,"5,096",40.264,"37,600",130,666,"1,021",859,"1,314",-0.29,31.283,56,.058,.234,-.093,42.409,56,21,0,4,,-1,,,2,2020
38,Joaquin Niemann,76,"5,312",35.688,"41,034",136,601,"1,064",948,"1,368",-0.28,-15.708,65,.370,.562,-.188,32.649,65,23,1,4,,-2,1,,1,2020
39,Paul Casey,56,"3,916",24.874,"29,490",96,498,783,712,"1,008",-0.27,-16.858,44,.546,.631,-.363,18.958,44,15,0,1,0,,,1,,2020
40,Zach Johnson,61,"4,270",23.670,"34,882",122,536,854,747,"1,098",-0.28,19.906,54,-.092,.287,-.098,25.142,54,18,0,1,0,,,,,2020
41,Adam Long,88,"6,158",38.043,"46,713",160,769,"1,231","1,073","1,584",-0.29,16.021,71,.004,.358,-.055,37.824,71,25,0,3,0,,,2,,2020
42,Mark Hubbard,86,"6,005",50.597,"49,893",172,756,"1,203","1,032","1,548",-0.31,30.154,73,-.044,.204,-.065,37.057,73,24,0,3,0,,,1,,2020
43,Joel Dahmen,79,"5,543",19.764,"41,944",142,711,"1,101",908,"1,422",-0.29,-3.975,63,.356,.336,-.040,37.072,63,22,0,5,0,,,,,2020
44,J.T. Poston,78,"5,456",37.470,"40,628",140,696,"1,092",909,"1,404",-0.31,36.028,63,.130,-.366,.095,27.139,63,23,0,2,0,,,,,2020
45,Corey Conners,74,"5,191",20.824,"37,043",124,695,"1,036",953,"1,332",-0.25,-37.373,62,.600,.582,-.175,25.086,62,22,0,1,0,,,,,2020
46,Kevin Na,71,"4,974",26.553,"36,151",126,623,993,808,"1,278",-0.30,40.883,59,-.410,.267,.140,40.753,59,21,1,4,,-1,1,,,2020
47,Lanto Griffin,92,"6,445",36.510,"55,656",184,738,"1,291","1,085","1,656",-0.29,26.841,80,.076,.152,.077,51.194,80,27,1,4,,-2,1,,,2020
48,Denny McCarthy,77,"5,375",49.970,"45,240",154,664,"1,078",935,"1,386",-0.32,64.205,65,-.139,-.243,-.137,30.503,65,23,0,4,0,,,,,2020
49,Doc Redman,82,"5,725",54.078,"48,773",164,783,"1,147","1,045","1,476",-0.29,-.293,70,.346,.584,-.332,41.557,70,24,0,1,0,,,,1,2020
50,Sebastián Muñoz,84,"5,874",46.749,"50,793",168,713,"1,180","1,003","1,512",-0.30,4.319,78,.218,.308,.110,53.922,78,26,1,5,,-3,1,,1,2020
51,Louis Oosthuizen,48,"3,379",4.668,"24,008",80,405,668,564,864,-0.28,10.314,40,.075,-.126,-.268,-2.399,40,13,0,2,0,,,,1,2020
52,Rickie Fowler,44,"3,085",16.953,"25,949",88,402,620,527,792,-0.32,8.908,41,.172,.099,.222,29.111,41,14,0,2,0,,,,,2020
53,Will Gordon,32,"2,226",30.755,"19,762",64,257,448,413,576,-0.27,-3.197,22,.564,-.106,-.036,6.072,22,,,,,,,,1,2020
54,Carlos Ortiz,72,"5,045",33.022,"43,247",144,558,"1,008",865,"1,296",-0.29,6.195,65,-.087,.122,.327,29.780,65,22,0,3,0,,,1,,2020
55,Cameron Tringale,63,"4,403",40.613,"38,044",126,476,881,790,"1,134",-0.27,4.562,53,-.125,.632,.195,41.784,53,18,0,1,0,,,,1,2020
56,Talor Gooch,83,"5,820",34.365,"49,505",166,678,"1,162","1,002","1,494",-0.30,23.477,75,-.019,.113,.016,31.742,75,24,0,2,0,,,,,2020
57,Brooks Koepka,40,"2,827",- 5.163,"23,332",76,301,560,481,720,-0.29,-8.952,38,.362,.322,-.028,15.970,38,13,0,2,0,,,1,,2020
58,Brice Garnett,58,"4,049",43.630,"33,704",116,522,811,730,"1,044",-0.27,9.807,45,.193,-.114,.027,14.567,45,19,0,,0,,,,,2020
59,Byeong Hun An,75,"5,271",21.567,"38,518",126,568,"1,046",888,"1,350",-0.28,-31.506,60,-.050,.256,.373,3.273,60,22,0,5,0,,,,1,2020
60,Richy Werenski,56,"3,923",29.100,"33,391",112,454,783,672,"1,008",-0.30,23.741,49,-.130,.038,.091,23.715,49,17,1,3,0,,1,,2,2020
61,Sergio Garcia,44,"3,085",20.258,"19,573",64,371,612,541,792,-0.26,-24.118,32,.848,.181,.308,18.646,32,12,0,1,0,,,,,2020
62,Matthew NeSmith,68,"4,756",43.096,"40,117",136,610,951,859,"1,224",-0.27,6.479,54,-.156,.473,-.158,15.063,54,23,0,1,0,,,,,2020
63,Justin Rose,38,"2,672",10.371,"20,373",68,321,532,432,684,-0.33,-.830,33,.218,.233,-.108,10.495,33,13,0,2,0,,,,1,2020
64,Mackenzie Hughes,70,"4,918",23.195,"41,821",140,546,979,799,"1,260",-0.30,42.211,62,-.352,-.390,.454,24.303,62,22,0,4,,E,,1,1,2020
65,Tom Hoge,74,"5,203",21.775,"42,976",148,627,"1,035",874,"1,332",-0.27,3.031,66,.062,.389,-.095,26.482,66,24,0,3,0,,,1,,2020
66,Nick Taylor,59,"4,150",15.804,"34,999",118,530,825,711,"1,062",-0.29,-2.164,50,.094,.052,-.030,3.642,50,18,1,2,0,,1,,,2020
67,Danny Lee,69,"4,843",28.990,"36,840",122,549,962,815,"1,242",-0.29,-10.725,55,.165,.238,-.296,-4.857,55,22,0,3,0,,,1,,2020
68,Adam Hadwin,65,"4,557",32.675,"33,511",114,584,905,799,"1,170",-0.27,9.974,54,-.004,.262,.130,30.951,54,17,0,3,0,,,1,,2020
69,Jim Furyk,39,"2,739",15.040,"21,854",78,406,545,521,702,-0.22,-1.869,36,-.099,.568,-.061,12.827,36,,,,,,,,,2020
70,Jason Kokrak,62,"4,353",25.284,"33,743",108,498,864,766,"1,116",-0.25,-14.376,51,.633,.168,-.227,14.919,51,20,0,3,0,,,,1,2020
71,Dylan Frittelli,82,"5,770",21.698,"43,119",148,698,"1,148",971,"1,476",-0.26,-7.570,68,.046,.043,.267,16.655,68,24,0,3,0,,,,,2020
72,Cameron Davis,58,"4,056",41.064,"35,723",116,477,811,723,"1,044",-0.29,.211,46,.211,.213,.131,25.779,46,20,0,2,0,,,,,2020
73,Cameron Smith,64,"4,497",24.166,"33,578",112,488,896,738,"1,152",-0.31,15.427,55,-.245,.020,.091,8.053,55,19,1,2,,E,1,,1,2020
74,Ryan Moore,44,"3,090",21.114,"20,872",72,420,612,543,792,-0.28,1.107,34,.291,.370,-.136,18.993,34,16,0,2,0,,,,,2020
75,Charles Howell III,69,"4,844",35.399,"34,324",114,525,962,854,"1,242",-0.28,10.844,50,-.132,-.300,.392,8.848,50,20,0,3,0,,,,1,2020
76,Matthew Wolff,74,"5,211",22.736,"41,135",132,611,"1,036",890,"1,332",-0.30,7.727,63,.607,.099,-.337,30.947,63,21,0,2,0,,,1,,2020
77,Scott Stallings,67,"4,671",67.709,"39,873",134,537,937,840,"1,206",-0.30,.992,53,-.191,.309,.072,11.029,53,20,0,2,0,,,,,2020
78,Brandt Snedeker,53,"3,706",42.752,"30,586",106,459,741,629,954,-0.27,17.357,50,-.333,-.336,.514,9.588,50,16,0,1,0,,,,1,2020
79,Adam Schenk,74,"5,165",69.197,"39,860",132,642,"1,031",920,"1,332",-0.27,6.472,55,.279,.001,-.095,16.651,55,24,0,,0,,,,,2020
80,Kevin Streelman,73,"5,141",22.885,"38,213",130,670,"1,017",889,"1,314",-0.28,-4.801,57,.246,.250,.002,23.596,57,23,0,4,0,,,2,,2020
81,Russell Knox,63,"4,411",46.882,"37,339",126,548,881,795,"1,134",-0.25,-17.172,49,-.145,.449,.077,1.465,49,22,0,,0,,,,,2020
82,Sam Burns,58,"4,073",32.133,"36,197",116,445,812,699,"1,044",-0.32,22.482,55,.493,-.179,-.394,18.083,55,19,0,1,0,,,,,2020
83,Rory Sabbatini,66,"4,645",26.437,"32,930",116,559,920,775,"1,188",-0.26,-.743,50,.005,-.278,.359,3.561,50,20,0,,0,,,,,2020
