,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,1ST,2ND,3RD,YEAR
49,Kevin Chappell,89,"6,293",- 5.977,"50,264",170,756,"1,241","1,054","1,602",-0.27,-22.673,74,.284,.596,.098,49.659,74,26,0,7,"3,308",,,3,1,2016
50,Charley Hoffman,88,"6,254",- 36.127,"52,477",176,673,"1,228","1,023","1,584",-0.25,-6.516,71,.384,.161,-.085,37.274,71,26,1,1,"3,806",,1,,,2016
51,Chez Reavie,86,"6,047",29.831,"49,411",172,818,"1,199","1,054","1,548",-0.26,-19.913,76,.262,.567,-.068,37.963,76,27,0,2,"4,417",,,,,2016
52,Emiliano Grillo,86,"6,089",- 11.273,"48,235",164,811,"1,208","1,063","1,548",-0.26,-5.008,69,.439,.324,-.191,34.532,69,24,1,2,"2,818",,1,1,,2016
53,Alex Cejka,67,"4,693",42.247,"35,475",126,620,941,820,"1,206",-0.28,.527,51,-.292,.626,.297,32.717,51,22,0,4,"4,435",,,1,,2016
54,Sean O'Hair,85,"5,985",23.645,"51,288",170,702,"1,188","1,031","1,530",-0.28,13.639,80,.332,-.161,.068,32.744,80,26,0,2,"3,537",,,1,,2016
55,Tim Wilkinson,68,"4,788",19.893,"37,981",136,593,951,792,"1,224",-0.27,16.775,50,-.459,.424,.260,28.056,50,22,0,1,"4,763",,,,,2016
56,John Senden,86,"6,067",14.666,"47,215",163,722,"1,202","1,066","1,548",-0.25,25.352,79,.318,.199,-.299,35.662,79,28,0,1,"4,470",,,,,2016
57,Adam Hadwin,93,"6,554",22.877,"53,672",185,827,"1,300","1,106","1,674",-0.30,46.675,88,.223,-.055,-.081,45.700,88,27,0,2,"4,441",,,,,2016
58,Keegan Bradley,82,"5,803",- 2.261,"46,794",156,740,"1,146","1,027","1,476",-0.24,-39.747,63,.305,.419,.205,18.777,63,26,0,2,"4,584",,,,,2016
